TML_DTA_SOMM,TML_VAX_FORNITORE,TML_COD_STRUTTURA,TML_DES_STRUTTURA,TML_AREA,TML_FASCIA_ETA,TML_SESSO_M,TML_SESSO_F,TML_GRAVIDANZA,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2,TML_TOT_SOMM,TML_REGIONE,TML_NUTS
2021-01-04,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,40-49,24,53,0,73,4,0,0,77,0,77,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,50-59,20,62,0,78,4,0,0,82,0,82,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,60-69,33,15,0,47,1,0,0,48,0,48,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,70-79,10,1,0,11,0,0,0,11,0,11,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,12M810,MONFALCONE,FVG,20-29,27,29,0,36,5,0,15,56,0,56,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,12M810,MONFALCONE,FVG,30-39,15,22,0,29,6,0,2,37,0,37,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,12M810,MONFALCONE,FVG,40-49,15,41,0,45,11,0,0,56,0,56,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,12M810,MONFALCONE,FVG,50-59,8,38,0,39,7,0,0,46,0,46,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,12M810,MONFALCONE,FVG,60-69,18,21,0,34,5,0,0,39,0,39,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,12M810,MONFALCONE,FVG,70-79,5,1,0,4,2,0,0,6,0,6,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,20-29,13,33,0,36,1,0,9,46,0,46,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,30-39,22,24,0,44,2,0,0,46,0,46,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,40-49,24,41,0,64,1,0,0,65,0,65,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,50-59,18,37,0,53,2,0,0,55,0,55,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,60-69,8,10,0,16,2,0,0,18,0,18,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,70-79,3,4,0,7,0,0,0,7,0,7,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,80-89,2,0,0,2,0,0,0,2,0,2,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,201010,CATTINARA,FVG,16-19,0,1,0,0,0,0,1,1,0,1,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,201010,CATTINARA,FVG,20-29,27,45,0,40,4,0,28,72,0,72,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,201010,CATTINARA,FVG,30-39,37,44,0,68,3,0,10,81,0,81,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,201010,CATTINARA,FVG,40-49,25,64,0,76,12,0,1,89,0,89,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,201010,CATTINARA,FVG,50-59,46,84,0,119,11,0,0,130,0,130,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,201010,CATTINARA,FVG,60-69,36,28,0,61,3,0,0,64,0,64,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,201010,CATTINARA,FVG,70-79,10,0,0,10,0,0,0,10,0,10,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,201010,CATTINARA,FVG,80-89,1,1,0,0,2,0,0,2,0,2,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,220101,TOLMEZZO,FVG,20-29,6,17,0,16,2,0,5,23,0,23,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,220101,TOLMEZZO,FVG,30-39,11,29,0,36,3,0,1,40,0,40,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,220101,TOLMEZZO,FVG,40-49,16,40,0,50,5,0,1,56,0,56,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,220101,TOLMEZZO,FVG,50-59,19,63,0,72,10,0,0,82,0,82,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,220101,TOLMEZZO,FVG,60-69,18,17,0,32,3,0,0,35,0,35,Friuli Venezia Giulia,ITH4
